SMILES,tpsa,num_five_six_membered_rings,QED,SAS,Task
O=c1cc(N2CCOCC2)oc2cc(O)ccc12,62.91000000000001,3,0.8233931954437959,2.382842349068838,1.0
CCc1cc(C(=O)N[C@@H](Cc2cccc(Cl)c2)C(=O)NCC#N)n(C)n1,99.81000000000002,2,0.7199990052095336,2.8826114065368653,2.6
Cc1cccc(C[C@H](NC(=O)c2cc(C(C)(C)C)nn2C)C(=O)NCC#N)c1,99.81,2,0.7476864665813892,2.917616283598216,3.1
Nc1nc(N)nc(-c2ccc(Cl)cc2)n1,90.71,2,0.7587891676851279,1.9525924594632578,2.12
CSc1nc(N)nc(-c2ccccc2)n1,64.69,2,0.7790813303716821,2.041108789644703,2.98
Nc1nc(N)nc(-c2cccc(C(F)(F)F)c2)n1,90.71,2,0.8091610358487767,2.164443997420486,2.4
COc1cc(F)ccc1-c1cncc(CNC(=O)c2ccccn2)c1,64.11,3,0.7763129576027555,2.0908916207920267,3.2
COc1ccc(NC(=O)c2ccnc(N)n2)cc1,90.13,2,0.8493353181973198,1.8197810368516425,1.72
Cc1ccc(CNC(=O)C2CCCN2S(=O)(=O)c2ccc(F)cc2)cc1,66.48,3,0.8723107441227395,2.3172939934704786,2.9
Nc1nc2ccccc2n1C(=O)c1ccccc1,60.91,3,0.706051368439289,1.874124005873572,1.56
CC(C)(C)OC(=O)N1CCC(OCc2nc(-c3ccncc3)no2)CC1,90.58,3,0.8273639658142304,2.4113687826029544,3.0
Cn1c(N)nc(CCc2cccc(-c3cccnc3)c2)cc1=O,73.80000000000001,3,0.801749490404908,2.2788852275192877,2.5
CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)NCC#N,94.46000000000001,1,0.6983027847900736,2.769546418758349,0.08
Cc1cccc(NS(=O)(=O)c2ccc(-c3ccc(C#N)cc3)cc2)n1,82.85000000000001,3,0.7778032292171189,2.0016215503694923,2.42
Cc1ccc(Oc2ccc(OCC(=O)Nc3ccncc3)cc2)cc1,60.45,3,0.733768152977421,1.7375960201597813,4.3
COc1ccc(-c2nc(N3CCOCC3)nc(O)c2C#N)cc1,91.5,3,0.9192504012100139,2.318550262484324,0.2
COc1ccc(COC(=O)N2CCC(CNc3ncccn3)CC2)cc1,76.58000000000001,3,0.8574927938072633,2.1222054003948347,3.14
Cc1ccc(COC(=O)N2CCC(CNc3ncccn3)CC2)cc1,67.35,3,0.9048488747425375,2.1200476534579913,3.6
CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,75.71000000000001,1,0.7751498496172248,1.989699628373197,-0.9
CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC,67.59,1,0.7437763293597593,2.2049593851350267,0.54
CCN(CC)S(=O)(=O)c1ccc(NC(=O)[C@@](C)(O)C(F)(F)F)c(Cl)c1,86.71000000000001,1,0.7654105887487519,2.851113682096001,3.66
CC(C)Cc1ccc([C@@H](C)C(=O)NS(C)(=O)=O)cc1,63.24,1,0.8994084644413988,2.5283040144438758,0.51
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,75.27000000000001,1,0.8794576573550539,1.7986649095997524,-0.33
C=CCNS(=O)(=O)c1ccc(NC(=O)[C@@](C)(O)C(F)(F)F)c(Cl)c1,95.50000000000001,1,0.6519926335639563,2.9833458004676885,3.07
C[C@@](O)(C(=O)Nc1ccc(S(C)(=O)=O)cc1Cl)C(F)(F)F,83.47,1,0.8772916306405131,2.7616369671135015,2.08
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,74.68,1,0.8330157421148819,1.8544426086828896,0.03
CC(C)Cc1ccc(C(C)C(=O)NS(C)(=O)=O)cc1,63.24,1,0.8994084644413988,2.5283040144438758,0.78
COc1ccccc1OCC(O)COC(N)=O,91.00999999999999,1,0.757667099994584,2.374849194494775,0.36
COc1ccc(OC)c(C(O)CNC(=O)CN)c1,93.80999999999999,1,0.6540368201081147,2.4698553885910215,-0.71
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,72.24,1,0.6801783581027343,2.069760717464863,3.46
CC(C)Cc1ccc([C@H](C)C(=O)NS(C)(=O)=O)cc1,63.24,1,0.8994084644413988,2.5283040144438758,0.56
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,75.27000000000001,1,0.8008194430489943,1.7859212344691517,0.44
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,67.59,1,0.7558132464087878,2.114523487699131,0.34
CCN(CC)S(=O)(=O)c1ccc(NC(=O)C(C)(O)C(F)(F)F)cc1,86.71000000000001,1,0.8037807961018192,2.6961073389292274,2.63
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)O,75.63,1,0.8747575639726836,2.0822180777922927,-1.1
N[C@@H](Cc1ccc(F)cc1)C(=O)O,63.32000000000001,1,0.7274025769135067,2.017805678071042,-1.06
NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,66.56,1,0.720239222897486,2.740646393142102,0.39
COc1cc(OC)nc(-n2ncc(Cl)c(Cl)c2=O)n1,79.13000000000001,2,0.8512454944411687,2.5902382926369416,1.4
O=c1c2ccc(O)cc2ncn1-c1ccc(O)cc1,75.35,3,0.6939232299927779,2.088733558909132,1.6
Cc1c(Cl)cccc1S(=O)(=O)Nc1nc(CC(=O)N2CCN(C)CC2)cs1,82.60999999999999,3,0.7890653011624487,2.349237346453407,0.57
Nc1nc(-c2ccccn2)nc(N)c1Cc1ccccc1F,90.71,3,0.7740964091963779,2.307226653890053,2.12
COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(C)=O,84.94,3,0.8272665465904379,2.7624966295680355,1.97
Cc1ccc2c(N)c(C#N)sc2n1,62.7,2,0.6895132318635865,2.699928211547288,2.23
CCc1c(C)nc2sc(C(N)=O)c(N)c2c1C,82.0,2,0.8552000877609406,2.5181681203020947,2.62
CN(C)c1ccnc2sc(C(N)=O)c(N)c12,85.24000000000001,2,0.8155500403175491,2.564927008443144,1.7
N#Cc1cnn2c(N)cc(-c3cccs3)nc12,80.0,3,0.7053213443320445,2.6464066132377297,2.3
CNC(=O)c1cnn(-c2ccccc2)c1NS(=O)(=O)c1ccc(C)cc1,93.09,3,0.7208739407279879,2.1323057802961145,-0.54
CCOC(=O)c1ccc(OCCC2CN(c3ccc(C)nn3)CCO2)cc1,73.78000000000002,3,0.6927898879830534,2.7360266658934744,2.7
NS(=O)(=O)c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,97.97,3,0.7675049207830676,1.8621390736731325,2.86
Cc1cc(C)nc(SCC(=O)Nc2cc(C)on2)n1,80.91000000000001,2,0.6812315847051038,2.2394239798089863,1.52
N#Cc1cccc(-c2cccc(-c3nn[nH]n3)c2)c1,78.25,3,0.7537768370711874,2.114589053414628,0.7
CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,68.78,3,0.8892761172918336,2.3823033356175074,-0.49
CS(=O)(=O)Cc1cc(N2CCOCC2)nc(-c2cccc(CO)c2)n1,92.62,3,0.8475498928324594,2.425518625125722,1.0
CS(=O)(=O)Cc1cc(N2CCOCC2)nc(-c2ccccc2)n1,72.39,3,0.844711299395327,2.2363460666801274,1.94
Cn1cnc(-c2ccccc2)c1/C=C/c1ccnc(N)n1,69.62,3,0.7986350609689091,2.656052195463694,2.61
Cc1cc2[nH]c(=O)c(O)cc(=O)c2cc1C,70.16,1,0.6964166843051994,2.325124503970873,1.99
O=C(O)CCC(=O)N1CCC(c2nc(-c3cccs3)no2)CC1,96.53,3,0.900828196226838,2.3182754373094987,-1.27
CCNc1nc(N)c(C(=O)c2ccc(Cl)s2)s1,68.00999999999999,2,0.8480388742805464,2.6287431775852372,3.63
COc1ccnc(NC2CCN(C(=O)c3ccc(C#N)cc3)CC2)c1,78.25,3,0.9285532031805762,2.1330185438689497,1.73
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,61.69,2,0.847697894583369,2.807837956019064,2.38
O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,84.6,2,0.682474275950086,2.3784121909336555,3.72
CCCCn1c(Cc2cc(OC)c(OC)c(OC)c2)nc2c(N)ncnc21,97.31,3,0.6500295005981395,2.4078484314736492,2.39
COc1ccc(OC)c(CNC(=O)c2cccnc2Oc2ccccc2)c1,69.68,3,0.6901054721063855,1.9077721156841747,3.52
COc1ccc(Oc2ncccc2C(=O)NCc2ccccc2Cl)cc1,60.45,3,0.6971343630219219,1.85821348946366,3.59
COc1cnc(-c2ccccn2)nc1N1CCOCC1,60.370000000000005,3,0.8410561542385523,2.2608182725752712,1.52
O=C(O)c1cc2cc(OCc3ccccc3)ccc2[nH]1,62.32,3,0.7607000506278672,1.8095396680704816,0.4
