,SMILES,tpsa,num_five_six_membered_rings,QED,SAS,Task
0,COc1cccc(C(=O)NCCN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)c1,50.8,3,0.7227429908835327,2.0405506215857407,9.0
1,O=c1[nH]c2cc(Cl)ccc2o1,46.0,2,0.6535135154314028,2.189049964088792,30.13
2,CC(C(=O)O)c1cccc(Oc2ccccc2)c1,46.53,2,0.8893527006971172,2.086236143970096,10.23
3,c1ccc(Nc2[nH]nnc2-c2ccccc2)cc1,53.6,3,0.7337545004416305,2.2420615798380688,119.0
4,O=C(Nc1ccncc1)c1cccc2ccccc12,41.99,3,0.7539156450838604,1.611409932535507,60.26
5,O=C(Nc1nc2ccccc2s1)c1ccccc1,41.99,3,0.7595295574164946,1.5085080239599833,150.0
6,COc1cccc2sc(NC(=O)c3ccccc3)nc12,51.22,3,0.7997742654807742,1.7057102250996614,74.0
7,COc1ccc(C(=O)NCCN2CCN(Cc3ccc(Cl)c(Cl)c3)CC2)cc1Cl,44.81,3,0.6779938646069417,1.985765296755748,50.5
8,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,49.33,2,0.8807285394160607,1.868950540041208,66.5
9,Cc1cccc(Nc2ccccc2C(=O)O)c1C,49.33,2,0.8600549198257493,1.6505178875303752,9.0
10,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,40.540000000000006,3,0.759345285057915,2.1227326079667783,8.0
11,O=C(c1cc2ccccc2[nH]1)N1CCNCC1,48.13,3,0.7719510964602605,2.0571222741482487,10.67
12,CC1CN(C(=O)c2cc3ccccc3[nH]2)CCN1,48.13,3,0.7989710066299167,2.675634177384646,8.0
13,Cc1cc(OCC(=O)NCc2ccccc2)c2cc(Br)ccc2n1,51.22,3,0.722475505467506,1.906531800645535,125.89
14,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,53.010000000000005,3,0.7038936958101741,2.4763029972544217,3.0
15,Cc1c(Oc2ccc(Cl)cc2)c2cc(F)ccc2n1CC(=O)O,51.46,3,0.7576259984647886,2.1408864075892176,3.0
16,Oc1nc(-c2ccccc2)nc2ccccc12,46.010000000000005,3,0.6880201187501459,1.7434515049174788,150.0
17,COc1ccc(-c2nc(O)c3ccccc3n2)cc1,55.24,3,0.7613211619299357,1.802674677790252,150.0
18,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,46.53,2,0.8810778082204156,2.211332009552059,3.0
19,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,54.37,2,0.8528036890699656,2.146445483239232,3.0
20,C[C@@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,54.37,2,0.8528036890699656,2.146445483239232,3.0
21,Nc1nc2ccc(-c3ccncc3)cc2s1,51.8,3,0.6950108905581838,2.065236855053733,20.42
22,CC1CCC(CC(=O)Nc2cccc3ncccc23)CC1,41.99,3,0.9067952548818916,1.9481687150097216,38.0
23,O=C(NCC1CCCCC1)c1c(Cl)ccc2ncccc12,41.99,3,0.9230566922812584,1.9977470252241003,150.0
24,C(=C/c1nn[nH]n1)\c1ccccc1,54.46,2,0.7438571391138827,2.359716673085748,3.0
25,CCOC(=O)c1c(-c2ccccc2)nc2ccc(C)cn12,43.6,3,0.6897539142834709,2.073945928124477,150.0
26,CCOC(=O)c1c(-c2ccccc2)nc2cc(C)ccn12,43.6,3,0.6897539142834709,2.1045805435090923,150.0
27,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,56.92,3,0.6939222125348533,2.588362569876306,5.5
28,Clc1ccc2ncc(-c3cccc(NC4CNC4)n3)n2c1,54.25,3,0.7798014994769733,2.651283216901273,3.0
29,CCOc1ccc2nc(N)sc2c1,48.14,2,0.7974077275753166,1.959566569135644,19.95
30,O=C(Nc1nc2ccccc2[nH]1)c1ccccc1,57.78,3,0.7196242008644197,1.6533414056726112,64.0
31,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,59.3,2,0.8540302270880286,2.1264773458913826,4.0
32,O=C(O)COc1ccc(-c2nccs2)cc1-c1ccccc1,59.42,3,0.7750638600768741,1.995637780263681,9.0
33,CC(C)Nc1nc(NCc2ccccc2)c2sccc2n1,49.84,3,0.7435520352672612,2.2293614010122447,150.0
34,Cc1cccc(NC(=O)Nc2cccc3ccccc23)c1,41.13,3,0.6937022578387759,1.5600564829794583,70.79
35,COc1ccc(-c2nc(N)s[n+]2-c2ccccc2)cc1,52.02,3,0.7523160821247465,2.683212877619555,19.0
36,Cc1cc(CCCOc2c(Cl)cc(C3=NCCO3)cc2Cl)on1,56.85,3,0.7330298578847592,2.7919041086381693,66.07
37,CCCCc1nc2c(N)nc3ccccc3c2n1CC(C)C,56.73,3,0.7686113251019442,2.2615260867152926,3.0
38,CCc1nc2c(N)nc3ccccc3c2n1CC(C)C,56.73,3,0.7918406341839629,2.26716826791891,3.0
39,COc1ccccc1C(=O)Nc1ccc(Cc2ccncc2)cc1,51.22,3,0.7751645749396511,1.6968993973966118,7.0
40,Cn1c(=N)n(CC(=O)c2ccc(Cl)cc2)c2ccccc21,50.78,3,0.7426980434626574,2.124622499180539,3.0
41,O=C(CSc1ccccc1)N1CCN(C(=O)c2ccco2)CC1,53.760000000000005,3,0.8077289785789764,1.957129669644328,12.3
42,CC(C)C(=O)Nc1nc(-c2ccccn2)cc2ccccc12,54.88,3,0.7961167426428143,2.096899181362581,104.71
43,Cc1ccc2c(n1)c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)O,55.120000000000005,3,0.7529731554999471,2.482698186435371,5.0
44,O=C(NC1CC1)c1cc(-c2cccs2)on1,55.13,2,0.88608381225914,2.184511351602513,38.9
45,O=C(Nc1ccccc1Cl)c1cc[nH]n1,57.78,2,0.8177847257672842,2.298460489108031,138.04
46,c1ccc(CSc2nc3cccnc3[nH]2)cc1,41.57,3,0.7155834481372664,2.049397803560012,28.0
47,N#Cc1ccc(Cl)cc1O[C@H](CCN)c1ccccc1,59.03999999999999,2,0.911906721794547,2.6040204857439946,4.0
48,O=C(O)CCc1ccc(OCc2cccc(Br)c2)cc1,46.53,2,0.8664248111875843,1.6540550666464977,3.0
49,CNCC[C@@H](Oc1cc(OC)ccc1C#N)c1ccccc1,54.28,2,0.8514974033587761,2.603681373161061,26.0
50,N#Cc1cc(F)c(Cl)cc1O[C@H](CCN)c1ccccc1,59.03999999999999,2,0.9132073784865626,2.752817095523626,3.0
51,N#Cc1cc(Cl)ccc1O[C@H](CCN)c1ccccc1,59.03999999999999,2,0.911906721794547,2.571474736756141,3.0
52,CNCC[C@@H](Oc1cc(C(F)(F)F)ccc1C#N)c1ccccc1,45.05,2,0.856201942920082,2.7764293307073107,3.0
53,Nc1nc(-c2ccccc2)nn1Cc1ccccc1,56.73,3,0.776894720606257,1.8760939984695728,9.0
54,O=C(NCc1ccccc1Cl)c1cccnc1Oc1ccccc1,51.22,3,0.7469949941329613,1.7981306061878204,36.0
55,CCCc1cc(=O)[nH]c(=S)[nH]1,48.65,1,0.6587322532597096,2.683909567066461,3.0
56,Fc1cnc(Nc2ccccc2)nc1Nc1ccccc1,49.84,3,0.7549981290947186,1.7986783598862657,7.0
57,CCC(CCNC)Oc1cc(Cl)ccc1C#N,45.05,1,0.8466675487377447,2.900042647849931,3.0
58,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,46.53,1,0.7849558299886599,2.0048308106072987,29.51
59,CCCN(CCC)CCc1ccc(O)c(NC(C)=O)c1,52.57,1,0.7186999427812236,2.1386615296571723,36.0
60,CCC(NC(=O)Nc1cc(Cl)ccc1Cl)(C(F)(F)F)C(F)(F)F,41.13,1,0.675792637605394,2.6309801901837417,7.41
61,O=c1nc(NCc2ccccc2)sn1Cc1ccccc1,46.92,3,0.7873376788406838,2.260996970308101,150.0
62,COc1ccnc(NC2CCN(C(=O)c3ccccc3)CC2)c1,54.46,3,0.943150943124968,1.922032769529519,3.0
63,CCOC(=O)N1CCC(Nc2cc(Cl)ccn2)CC1,54.46,2,0.9266764043656038,2.1648643281399007,34.0
64,Cc1ccc2c(c1)c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)O,42.23,3,0.7108308127953309,2.246065253743064,7.0
65,Cc1c(Sc2ccc(Cl)cc2)c2cccc(Cl)c2n1CC(=O)O,42.23,3,0.6637067428533587,2.366583042204603,3.0
66,Cc1ccc2c(c1)c(Sc1ccccc1Cl)c(C)n2CC(=O)O,42.23,3,0.7108308127953309,2.302466696050756,3.0
